id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,2,oa,front
70,2,oa,back
71,2,oa,up
72,2,oa,left
73,2,oa,right
74,7,usd,spiWrBps
75,7,usd,spiReBps
76,7,usd,fatWrBps
77,2,rpm,m1
78,2,rpm,m2
79,2,rpm,m3
80,2,rpm,m4
81,3,motor,m1
82,3,motor,m2
83,3,motor,m3
84,3,motor,m4
85,6,motor,m1req
86,6,motor,m2req
87,6,motor,m3req
88,6,motor,m4req
89,7,pm,vbat
90,2,pm,vbatMV
91,7,pm,extVbat
92,2,pm,extVbatMV
93,7,pm,extCurr
94,7,pm,chargeCurrent
95,4,pm,state
96,1,pm,batteryLevel
97,1,radio,rssi
98,1,radio,isConnected
99,2,radio,numRxBc
100,2,radio,numRxUc
101,5,gyro,xRaw
102,5,gyro,yRaw
103,5,gyro,zRaw
104,7,gyro,xVariance
105,7,gyro,yVariance
106,7,gyro,zVariance
107,7,gyro,x
108,7,gyro,y
109,7,gyro,z
110,3,colAv,latency
111,2,locSrvZ,tick
112,7,locSrv,x
113,7,locSrv,y
114,7,locSrv,z
115,7,locSrv,qx
116,7,locSrv,qy
117,7,locSrv,qz
118,7,locSrv,qw
119,7,ext_pos,X
120,7,ext_pos,Y
121,7,ext_pos,Z
122,2,crtp,rxRate
123,2,crtp,txRate
124,2,ae483com,tick
125,7,extrx,thrust
126,7,extrx,roll
127,7,extrx,pitch
128,7,extrx,rollRate
129,7,extrx,pitchRate
130,7,extrx,yawRate
131,7,extrx,zVel
132,1,extrx,AltHold
133,1,extrx,Arm
134,2,extrx_raw,ch0
135,2,extrx_raw,ch1
136,2,extrx_raw,ch2
137,2,extrx_raw,ch3
138,2,extrx_raw,ch4
139,2,extrx_raw,ch5
140,2,extrx_raw,ch6
141,2,extrx_raw,ch7
142,7,health,motorVarXM1
143,7,health,motorVarYM1
144,7,health,motorVarXM2
145,7,health,motorVarYM2
146,7,health,motorVarXM3
147,7,health,motorVarYM3
148,7,health,motorVarXM4
149,7,health,motorVarYM4
150,1,health,motorPass
151,7,health,batterySag
152,1,health,batteryPass
153,2,health,motorTestCount
154,3,memTst,errCntW
155,2,range,front
156,2,range,back
157,2,range,up
158,2,range,left
159,2,range,right
160,2,range,zrange
161,7,sensfusion6,qw
162,7,sensfusion6,qx
163,7,sensfusion6,qy
164,7,sensfusion6,qz
165,7,sensfusion6,gravityX
166,7,sensfusion6,gravityY
167,7,sensfusion6,gravityZ
168,7,sensfusion6,accZbase
169,1,sensfusion6,isInit
170,1,sensfusion6,isCalibrated
171,5,stateEstimateZ,x
172,5,stateEstimateZ,y
173,5,stateEstimateZ,z
174,5,stateEstimateZ,vx
175,5,stateEstimateZ,vy
176,5,stateEstimateZ,vz
177,5,stateEstimateZ,ax
178,5,stateEstimateZ,ay
179,5,stateEstimateZ,az
180,3,stateEstimateZ,quat
181,5,stateEstimateZ,rateRoll
182,5,stateEstimateZ,ratePitch
183,5,stateEstimateZ,rateYaw
184,7,stateEstimate,x
185,7,stateEstimate,y
186,7,stateEstimate,z
187,7,stateEstimate,vx
188,7,stateEstimate,vy
189,7,stateEstimate,vz
190,7,stateEstimate,ax
191,7,stateEstimate,ay
192,7,stateEstimate,az
193,7,stateEstimate,roll
194,7,stateEstimate,pitch
195,7,stateEstimate,yaw
196,7,stateEstimate,qx
197,7,stateEstimate,qy
198,7,stateEstimate,qz
199,7,stateEstimate,qw
200,5,controller,ctr_yaw
201,7,controller,cmd_thrust
202,7,controller,cmd_roll
203,7,controller,cmd_pitch
204,7,controller,cmd_yaw
205,7,controller,r_roll
